ULK1 Dataset;;;;;;;
compound ID;SMILES;Inconclusive;IC50(nM);Enzymatic assay methods;document name;persistent identifier;label
A001;FC1(F)CN(c2c(C(F)(F)F)cnc3[nH]c(C4=CCNC4)cc23)C1;=';1;fluorescent signal  LanthaScreen;Inhibitors of ULK1 and Methods of Use;WO2023059786A1;1
A002;CC(C)[C@@H](NC(=O)c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)cs1)C(F)(F)F;=';1.6;Radiometric based assays（Filtration binding assay）KinaseProfiler Eurofins Pharma Discovery;A Potent and Selective ULK1 Inhibitor Suppresses Autophagy and Sensitizes Cancer Cells to Nutrient Stress;doi: 10.1016/j.isci.2018.09.012;1
A003;O=C(NCC(F)(F)F)c1cc(-c2cnc3[nH]c(C4=CCCNC4)cc3c2)cs1;=';177.827.941;in vitro;Development of potent and selective ULK1/2 inhibitors based on 7-azaindole scaffold with favorable in vivo properties;doi: 10.1016/j.ejmech.2023.116101;1
A004;CN1CC=C(c2cc3cc(-c4csc(C(=O)NCC(F)(F)F)c4)cnc3[nH]2)CC1;=';2.241.377.448;in vitro;Inhibitors of ULK1 and Methods of Use;WO2023059786A1;1
A005;O=C(NCC(F)(F)F)c1cc(-c2cnc3[nH]c(C4=CCNCC4)cc3c2)cs1;=';2.446.586.795;in vitro;Development of potent and selective ULK1/2 inhibitors based on 7-azaindole scaffold with favorable in vivo properties;doi: 10.1016/j.ejmech.2023.116101;1
A006;O=C(NCC(F)(F)F)c1cc(-c2cnc3[nH]c(C4=CCOCC4)cc3c2)cs1;=';2.818.382.931;in vitro;Development of potent and selective ULK1/2 inhibitors based on 7-azaindole scaffold with favorable in vivo properties;doi: 10.1016/j.ejmech.2023.116101;1
A007;O=C(NCC(F)(F)F)c1ccc(-c2cnc3[nH]c(-c4ccc(F)cc4)cc3c2)o1;=';2.818.382.931;in vitro;Development of potent and selective ULK1/2 inhibitors based on 7-azaindole scaffold with favorable in vivo properties;doi: 10.1016/j.ejmech.2023.116101;1
A008;c1ccc2c(Nc3cc(C4CCC4)[nH]n3)nc(Nc3ccc4[nH]cnc4c3)nc2c1;=';3;Fluorescence resonance energy transfer（AlphaScreen）;Chemical Synthesis and Use of in silico Methods for the Rational Design of Small Molecule anti-Cancer Therapeutic Candidates;Ph.D. thesis, The Scripps Research InstitutePh.D. thesis, The Scripps Research Institute;1
A009;O=C1CCCc2cc(Nc3ncc(C(F)(F)F)c(NC4CC4)n3)ccc21;=';3;ADP-Glo;Design, Synthesis, and Characterization of an Orally Active Dual-Specific ULK1/2 Autophagy Inhibitor that Synergizes with the PARP Inhibitor Olaparib for the Treatment of Triple-Negative Breast Cancer;doi: 10.1021/acs.jmedchem.0c00873;1
A010;O=C(NCC(F)(F)F)c1cc(-c2cnc3[nH]c(C4=CCNC4)cc3c2)cs1;=';3.872.983.346;in vitro;Inhibitors of ULK1 and Methods of Use;WO2023059786A1;1
