Type,Dataset,Model,Architecture (Units per Layer),Accuracy,Recall,Precision,F1-Score,TP,TN,FP,FN
Baseline (Manual),Train,Baseline 1,"(64,)",0.8816067653275091,0.8177966101691451,0.9368932038830404,0.8733031673706497,193,224,13,43
Baseline (Manual),Test,Baseline 1,"(64,)",0.8858267716531946,0.809523809523167,0.9532710280364922,0.8755364806362762,102,123,5,24
Baseline (Manual),Train,Baseline 2,"(64, 128)",0.86257928118375,0.8728813559318336,0.8547717842320105,0.8637316561341296,206,202,35,30
Baseline (Manual),Test,Baseline 2,"(64, 128)",0.8622047244091094,0.8888888888881834,0.8421052631572616,0.8648648648142335,112,107,21,14
Baseline (Manual),Train,Baseline 3,"(64, 128, 256)",0.8604651162788879,0.8516949152538764,0.8663793103444541,0.8589743589239957,201,206,31,35
Baseline (Manual),Test,Baseline 3,"(64, 128, 256)",0.8503937007870668,0.8571428571421769,0.8437499999993409,0.850393700736735,108,108,20,18
MBO (Tuned),Train+Val,MBO 1,"(23, 218, 195)",0.9155405405403858,0.952542372881033,0.8864353312300043,0.9183006535445358,281,261,36,14
MBO (Tuned),Test,MBO 1,"(23, 218, 195)",0.8464566929130526,0.9047619047611867,0.808510638297299,0.8539325842191811,114,101,27,12
MBO (Tuned),Train+Val,MBO 2,"(67, 103, 468)",0.89358108108093,0.8203389830505694,0.9603174603170793,0.88482632536132,242,287,10,53
MBO (Tuned),Test,MBO 2,"(67, 103, 468)",0.8858267716531946,0.8015873015866654,0.9619047619038458,0.8744588744085305,101,124,4,25
MBO (Tuned),Train+Val,MBO 3,"(40, 144, 301)",0.89358108108093,0.9084745762708786,0.8815789473681311,0.8948247077961232,268,261,36,27
MBO (Tuned),Test,MBO 3,"(40, 144, 301)",0.854330708661081,0.8809523809516818,0.8345864661647862,0.8571428570922318,111,106,22,15
